Fazenda;Numero_Matriz;Nome_Matriz;Tipo;Data_Reproducao;Reprodutor;Diagnostico;Data_Parto;Lancado_em;ID_Registro;Acao
CHÁCARA;02;NINA;Inseminação;04/04/2025;ALTAMOHANA;Vazio;;10/07/2026 18:39;2405675;MANTER
CHÁCARA;02;NINA;Inseminação;04/04/2025;ALTAMOHANA;Vazio;;10/07/2026 18:39;2405677;EXCLUIR
FAZENDA 2 MENINAS;002;ESTRELINHA;Inseminação;05/06/2025;200GO0025;Não diagnosticado;;11/08/2026 00:43;2412739;MANTER
FAZENDA 2 MENINAS;002;ESTRELINHA;Inseminação;05/06/2025;200GO0025;Não diagnosticado;;22/07/2026 12:37;2408446;EXCLUIR
FAZENDA 2 MENINAS;003;BURRAINHA;Inseminação;05/06/2025;200GO0025;Não diagnosticado;;11/08/2026 00:43;2412740;MANTER
FAZENDA 2 MENINAS;003;BURRAINHA;Inseminação;05/06/2025;200GO0025;Não diagnosticado;;22/07/2026 12:37;2408460;EXCLUIR
FAZENDA ACALANTO;77;77;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385219;MANTER
FAZENDA ACALANTO;77;77;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385241;EXCLUIR
FAZENDA ACALANTO;1144;1144;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385176;MANTER
FAZENDA ACALANTO;1144;1144;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385210;EXCLUIR
FAZENDA ACALANTO;67;67;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385087;MANTER
FAZENDA ACALANTO;67;67;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385101;EXCLUIR
FAZENDA ACALANTO;1854 - ALQ 2522;1854 - ALQ 2522;Inseminação;03/06/2025;COMODORO DE NAVIRAI;Vazio;;03/03/2026 19:48;2384677;MANTER
FAZENDA ACALANTO;1854 - ALQ 2522;1854 - ALQ 2522;Inseminação;03/06/2025;COMODORO DE NAVIRAI;Vazio;;03/03/2026 19:48;2384678;EXCLUIR
FAZENDA ACALANTO;343;343;Inseminação;14/04/2025;REM HADOQUE;Não diagnosticado;;03/03/2026 19:48;2384306;MANTER
FAZENDA ACALANTO;343;343;Inseminação;14/04/2025;REM HADOQUE;Não diagnosticado;;03/03/2026 19:48;2384336;EXCLUIR
FAZENDA ACALANTO;343;343;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385224;MANTER
FAZENDA ACALANTO;343;343;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385286;EXCLUIR
FAZENDA ACALANTO;PO SN;PO SN;Inseminação;11/01/2025;FAJARDO GB;Prenhez;;03/03/2026 19:48;2383772;MANTER
FAZENDA ACALANTO;PO SN;PO SN;Inseminação;11/01/2025;FAJARDO GB;Vazio;;03/03/2026 19:48;2383776;EXCLUIR
FAZENDA ACALANTO;756;756;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385054;MANTER
FAZENDA ACALANTO;756;756;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385099;EXCLUIR
FAZENDA ACALANTO;756;756;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385107;EXCLUIR
FAZENDA ACALANTO;951;951;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385175;MANTER
FAZENDA ACALANTO;951;951;Inseminação;07/10/2025;NATURAL;Não diagnosticado;;03/03/2026 19:48;2385198;EXCLUIR
FAZENDA ACALANTO;1521;1521;Inseminação;26/11/2025;QATAR DA DI GÊNIO;Não diagnosticado;;03/03/2026 19:48;2385461;MANTER
FAZENDA ACALANTO;1521;1521;Inseminação;26/11/2025;QATAR DA DI GÊNIO;Não diagnosticado;;03/03/2026 19:48;2385468;EXCLUIR
FAZENDA ÁGUA BONITA;726;726;Inseminação;18/11/2025;NATURAL;Não diagnosticado;;03/03/2026 15:56;2383439;MANTER
FAZENDA ÁGUA BONITA;726;726;Inseminação;18/11/2025;NATURAL;Não diagnosticado;;03/03/2026 15:56;2383441;EXCLUIR
FAZENDA ÁGUA BONITA;352;352;Inseminação;18/11/2025;NATURAL;Não diagnosticado;;03/03/2026 15:56;2383425;MANTER
FAZENDA ÁGUA BONITA;352;352;Inseminação;18/11/2025;NATURAL;Não diagnosticado;;03/03/2026 15:56;2383454;EXCLUIR
FAZENDA ÁGUA BONITA;52;52;Inseminação;06/06/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383134;MANTER
FAZENDA ÁGUA BONITA;52;52;Inseminação;06/06/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383192;EXCLUIR
FAZENDA ÁGUA BONITA;302;302;Inseminação;15/04/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383025;MANTER
FAZENDA ÁGUA BONITA;302;302;Inseminação;15/04/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383041;EXCLUIR
FAZENDA ÁGUA BONITA;367;367;Inseminação;15/04/2025;QUICKMAN COL;Vazio;;03/03/2026 15:56;2383034;MANTER
FAZENDA ÁGUA BONITA;367;367;Inseminação;15/04/2025;QUICKMAN COL;Prenhez;;03/03/2026 15:56;2383099;EXCLUIR
FAZENDA ÁGUA BONITA;97;97;Inseminação;06/06/2025;QUICKMAN COL;Vazio;;03/03/2026 15:56;2383131;MANTER
