Fazenda;Grupos_duplicados;Registros_a_remover;Dos_quais_com_parto;Linhas_de_vaca_sem_numero_NAO_MEXER;Primeiro_lancamento;Ultimo_lancamento
FAZENDA CATAVENTO;55;111;0;0;24/03/2026;13/05/2026
Fazenda Cachoeira;24;25;9;0;27/02/2026;16/09/2026
SITIO JA;12;14;0;0;04/08/2026;04/08/2026
FAZENDA ACALANTO;10;11;0;38;03/03/2026;03/03/2026
FAZENDA ÁGUA BONITA;9;9;0;20;03/03/2026;03/03/2026
FAZENDA MIMOSO;7;7;0;32;03/03/2026;03/03/2026
fazenda teste importação;7;7;1;0;31/03/2026;13/08/2026
Fazenda Cordilheira;5;5;0;0;16/02/2026;16/02/2026
FAZENDA SÃO TOMAZ - CHÁCARA;4;5;0;8;03/03/2026;03/03/2026
Fazenda Vera Cruz 2;5;5;0;0;07/01/2026;04/02/2026
Sítio São João;3;4;0;0;07/02/2026;07/02/2026
Fazenda CRVLAGOA  LP;3;3;0;0;24/02/2026;24/02/2026
FAZENDA 2 MENINAS;2;2;0;0;22/07/2026;11/08/2026
FAZENDA NOSSA SENHORA DA CONCEIÇÃO;2;2;0;0;03/08/2026;03/08/2026
FAZENDA NOVILHA;2;2;0;65;03/03/2026;03/03/2026
CHÁCARA;1;1;0;0;10/07/2026;10/07/2026
FAZENDA BELA VISTA;1;1;0;0;15/05/2026;26/06/2026
fazenda cristiana;1;1;0;0;24/02/2026;26/02/2026
SÃO JOSÉ;1;1;0;0;11/08/2026;11/08/2026
Sítio Santana- Cesar;1;1;1;0;14/04/2026;14/04/2026
FAZENDA BOA ESPERANÇA CORTE;0;0;0;2;17/06/2026;17/06/2026
TOTAL;155;217;11;165;;
