categoria;animal;a12;referencia;o_que_fazer
1 - A12 repetido;1557;P460 1557 21;nascimento 25/12/2021;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1557;P460 1557 21;nascimento 28/12/2021;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1578;P460 1578 21;nascimento 07/09/2021;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1578;P460 1578 21;nascimento 28/12/2021;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1661;P460 1661 22;nascimento 03/06/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1661;P460 1661 22;nascimento 24/01/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1753;P460 1753 22;nascimento 03/03/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1753;P460 1753 22;nascimento 19/01/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1780;P460 1780 22;nascimento 09/04/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1780;P460 1780 22;nascimento 11/03/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1941;P460 1941 22;nascimento 16/07/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1941;P460 1941 22;nascimento 29/07/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1946;P460 1946 22;nascimento 01/09/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;1946;P460 1946 22;nascimento 18/07/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;2175;P460 2175 22;nascimento 11/10/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;2175;P460 2175 22;nascimento 11/10/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;2217;P460 2217 22;nascimento 21/11/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;2217;P460 2217 22;nascimento 26/10/2022;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3128;P460 3128 23;nascimento 25/10/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3128;P460 3128 23;nascimento 28/10/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;315;P460 315  20;nascimento 10/08/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;315;P460 315  20;nascimento 16/09/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3232;P460 3232 23;nascimento 07/12/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3232;P460 3232 23;nascimento 08/12/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3257;P460 3257 23;nascimento 15/12/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3257;P460 3257 23;nascimento 15/12/2023;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3356;P460 3356 24;nascimento 21/01/2024;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3356;P460 3356 24;nascimento 28/01/2024;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3945;P460 3945 24;nascimento 16/10/2024;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;3945;P460 3945 24;nascimento 18/10/2024;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;418;P460 418  20;nascimento 25/10/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;418;P460 418  20;nascimento 30/10/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;4267;P460 4267 25;nascimento 05/04/2025;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;4267;P460 4267 25;nascimento 09/03/2025;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;615;P460 615  20;nascimento 23/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;615;P460 615  20;nascimento 30/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;616;P460 616  20;nascimento 24/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;616;P460 616  20;nascimento 30/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;617;P460 617  20;nascimento 25/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;D617;P460 617  20;nascimento 30/12/2020;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;7301;P460 7301 16;nascimento 13/09/2016;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;7301;P460 7301 16;nascimento 18/10/2016;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;815;PJLK 815  15;nascimento 01/04/2015;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;815;PJLK 815  15;nascimento 10/05/2015;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;817;P460 817  11;nascimento 04/10/2011;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;817;P460 817  11;nascimento 04/10/2011;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
1 - A12 repetido;8427;P460 8427 18;nascimento 10/08/2018;Dois animais diferentes com o mesmo A12. Apagar a duplicata se for o mesmo animal, ou trocar o brinco de um deles
