problema;data_da_cobertura;tipo;vaca;detalhe;a12_da_vaca;id_reproducao;o_que_fazer
1 - Vaca apagada do rebanho;23/02/2023;Inseminacao;1095;nasc. 08/08/2021;P460 1095 21;bhqbasmc6cgjke43vtns;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;15/02/2024;Inseminacao;1095;nasc. 08/08/2021;P460 1095 21;qi8zcuavarx9ghd1vddo;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;16/05/2024;Inseminacao;1095;nasc. 08/08/2021;P460 1095 21;hbiw0gj3h5bh70jps6wc;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;30/04/2025;Inseminacao;1095;nasc. 08/08/2021;P460 1095 21;hmvy4bpf8nofhsutdm8q;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;19/03/2026;Inseminacao;1095;nasc. 08/08/2021;P460 1095 21;73n5ui20e6e6qxuj5w8f;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;30/06/2024;Monta natural;565;nasc. 10/01/2009;P460 565  09;kix1cpgn9e9dwk3mvljl;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;06/02/2025;Inseminacao;810;nasc. 01/04/2015;PJLK 810  15;brtv0373kawf4yxgvh5k;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
1 - Vaca apagada do rebanho;12/03/2026;Inseminacao;810;nasc. 01/04/2015;PJLK 810  15;c0ypqjizoje8afcntuou;A vaca existe mas esta marcada como apagada. Restaurar a vaca no rebanho, ou apagar esta cobertura
2 - Cobertura sem vaca vinculada;22/02/2024;Inseminacao;;campo da matriz vazio;;mi3wwv45yildzishvaso;Abrir a cobertura e vincular a vaca certa, ou apagar o lancamento se nao der para identificar
2 - Cobertura sem vaca vinculada;14/03/2024;Inseminacao;;campo da matriz vazio;;vlwu01axm8d54msx6ghj;Abrir a cobertura e vincular a vaca certa, ou apagar o lancamento se nao der para identificar
2 - Cobertura sem vaca vinculada;17/04/2025;Inseminacao;;campo da matriz vazio;;nu2po2deg3exv0dds5gn;Abrir a cobertura e vincular a vaca certa, ou apagar o lancamento se nao der para identificar
2 - Cobertura sem vaca vinculada;22/05/2025;Inseminacao;;campo da matriz vazio;;t0qek4ucwa1ohwj05ddy;Abrir a cobertura e vincular a vaca certa, ou apagar o lancamento se nao der para identificar
2 - Cobertura sem vaca vinculada;01/02/2024;Inseminacao;;aponta para animal que nao existe no banco;;7pqus2gv96g2k6f7561n;Abrir a cobertura e vincular a vaca certa, ou apagar o lancamento se nao der para identificar
